Device_Fail,Gear_Type,Velocity,Torque(Nm),Wear_Measure,Sensor_1,Sensor_2
N,X,1837,28.4,34,298.2,324.4814815
N,Z,1667,29.9,75,300.2,325.962963
N,Z,1567,36.5,72,300.4,328.5555556
N,Z,1619,40.1,45,298,324.1111111
N,Z,1555,34.2,185,302.2,332.6296296
N,Y,1625,30.7,189,302,333.3703704
N,Z,1612,36,158,300.3,326.3333333
N,Y,1435,48,66,301.7,332.2592593
N,Z,1770,24.1,112,301.4,331.8888889
N,Z,1621,28.9,0,297.5,323.7407407
N,Z,1527,32.4,99,298,325.962963
N,X,1761,30.4,180,299.2,331.8888889
N,T,1451,50.7,197,296.7,321.5185185
N,T,1456,44.1,118,298.9,330.037037
N,Y,1757,29.5,151,302.6,334.1111111
Y,T,1412,52.3,218,298.3,321.8888889
N,X,1500,35.2,112,300.4,327.8148148
N,Y,1454,41.4,108,300.5,334.8518519
N,T,1690,26.7,4,302.7,331.1481481
N,Y,1375,42,168,301.4,331.5185185
N,T,1555,41.9,19,300.6,329.6666667
N,Y,1533,32.5,182,296.7,319.2962963
N,Y,1261,51.1,130,297,320.4074074
N,X,1429,43,96,299.3,324.8518519
N,T,1499,38.4,205,300.7,335.2222222
N,T,1356,45.7,119,301.9,332.6296296
N,T,1820,24.9,174,299.8,333
N,T,1564,33.8,183,298.9,328.9259259
N,T,1869,22.9,18,301.6,328.9259259
N,T,1450,43.4,66,298.8,324.1111111
Y,Y,1378,54.3,165,302.4,330.037037
N,T,1376,43.5,74,300.4,328.5555556
N,T,1410,51.4,189,300.2,335.5925926
N,Y,1522,35.6,63,301.9,333.7407407
N,T,1480,43.7,153,300.6,328.5555556
N,Y,1633,31.3,90,300.7,327.0740741
N,T,1740,30.8,182,302.1,332.6296296
N,T,2514,13.4,215,300.6,330.4074074
N,Y,1551,36.6,205,300.5,333.3703704
N,T,1332,44.4,100,298.2,324.8518519
N,T,1407,47.1,153,298.2,322.2592593
N,X,1482,39.3,187,297.2,323.3703704
N,T,1446,39.7,95,302.1,334.1111111
N,T,1476,44.4,14,299.8,327.0740741
N,T,1566,35.8,175,296.3,318.9259259
N,T,1447,45.4,204,300.5,334.8518519
N,T,1688,31.6,66,302.5,330.037037
N,T,1407,41.2,107,303.1,337.8148148
N,T,1418,46.3,133,298.8,325.5925926
N,X,1353,48.1,79,298.9,324.1111111
N,X,1398,51.8,76,298.2,323
N,T,1481,44.1,197,303.9,340.7777778
N,X,1517,36,142,303.9,340.037037
N,T,1549,40.6,66,302.3,333.3703704
N,X,1404,55.8,84,303.5,339.2962963
N,Y,1517,38.9,2,302.1,331.1481481
N,Y,2206,16.3,195,298.1,324.4814815
N,T,1371,46.5,121,297.5,324.1111111
N,Y,1458,43.4,0,300.8,330.037037
N,X,1653,31.4,9,297.3,322.2592593
N,T,1497,35.8,44,297.5,326.7037037
N,T,1695,25.6,43,300.3,334.4814815
N,T,1468,46.2,10,298.3,326.7037037
N,Y,1435,48.8,71,298.7,328.1851852
N,T,1450,40.1,100,300.1,327.0740741
N,T,1467,44.7,136,298.9,323.3703704
N,T,1382,50.5,203,303,333.3703704
N,T,1313,55.6,127,301.3,330.037037
N,T,1662,31.3,0,297.2,321.8888889
N,Y,1330,51.2,56,299.2,323
N,T,1812,28.3,94,300,334.4814815
N,T,1409,50.9,66,301.2,331.1481481
N,T,1412,45.3,155,300.7,328.5555556
N,Y,1580,36.6,109,300.8,332.6296296
N,Y,1674,32.7,76,303.3,338.1851852
Y,X,1386,62.3,100,296.6,320.4074074
N,T,1362,53.2,4,301.4,331.8888889
N,T,1720,30.3,96,300.7,331.1481481
N,T,1631,35,168,296.6,319.2962963
N,T,1426,45.7,213,299.4,331.5185185
N,Y,1420,47.4,167,301,333
N,Y,1480,38.4,72,304.1,341.1481481
N,Y,1469,34.2,93,298.9,323.7407407
